Row_num,Grade_letter,Student_ID,Semester,Course_number,Faculty
1,A,202201501,Fall,203,CS
2,B,202201602,Spring,201,Science
3,C,202201203,Fall,205,Nano
4,C,202201701,Spring,203,Engineering
5,A,202201802,Fall,202,Nano
6,C,202201903,Spring,205,Science
7,B,202202004,Fall,203,CS
8,B,202202105,Spring,201,Engineering
9,C,202202206,Fall,202,Nano
10,A,202201306,Spring,203,CS
11,C,202201307,Fall,201,Science
12,C,202201308,Spring,205,Engineering
13,A,202101705,Fall,203,Science
14,B,202201107,Spring,201,Engineering
15,A,202202307,Fall,202,Nano
16,B,202001304,Fall,203,CS
17,B,202001522,Spring,201,Science
18,B,202001404,Fall,205,Engineering
19,A,202001120,Spring,203,Nano
20,A,202001305,Fall,202,Nano
21,B,202102408,Spring,205,Science
22,A,202102509,Fall,203,CS
23,B,202101821,Spring,201,Engineering
24,C,202101715,Fall,202,CS
25,A,202101406,Spring,203,Nano
26,B,202102418,Fall,201,Engineering
27,C,202201308,Spring,205,Nano
28,A,202102519,Fall,203,CS
29,B,202101021,Spring,201,CS
30,C,202100715,Fall,202,CS
